time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-11-26T18:21:50.637Z,64.8897,-151.4758,5.3,1.5,ml,,,,0.54,ak,ak023f626xsn,2023-11-26T18:23:39.137Z,"41 km WSW of Manley Hot Springs, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-11-26T17:49:43.920Z,38.8260002,-122.8531647,2.65,1.04,md,8,104,0.003282,0.01,nc,nc73967816,2023-11-26T18:02:10.276Z,"10 km WNW of The Geysers, CA",earthquake,0.45,1.22,0.22,6,automatic,nc,nc
2023-11-26T17:49:39.520Z,38.8260002,-122.8528366,2.29,1.5,md,20,60,0.00351,0.01,nc,nc73967811,2023-11-26T17:59:12.252Z,"10 km WNW of The Geysers, CA",earthquake,0.25,0.51,0.14,20,automatic,nc,nc
2023-11-26T17:45:29.220Z,64.9249,-151.4768,20,2.5,ml,,,,0.64,ak,ak023f61qlq2,2023-11-26T17:47:54.875Z,"Central Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-11-26T17:44:18.440Z,38.8221664,-122.8121643,2.9,0.75,md,16,49,0.002042,0.02,nc,nc73967806,2023-11-26T17:51:10.205Z,"7 km NW of The Geysers, CA",earthquake,0.27,0.73,0.27,17,automatic,nc,nc
2023-11-26T17:41:41.130Z,38.8148346,-122.8191681,0.97,1.14,md,19,50,0.009831,0.02,nc,nc73967801,2023-11-26T18:19:14.364Z,"7 km NW of The Geysers, CA",earthquake,0.2,0.4,0.19,21,automatic,nc,nc
2023-11-26T17:41:06.506Z,58.2201,-155.2656,2.7,1.1,ml,,,,1.74,ak,ak023f61pp3u,2023-11-26T17:43:13.027Z,"87 km NW of Karluk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-11-26T17:40:17.183Z,60.9727,-149.3614,24.1,1.9,ml,,,,0.39,ak,ak023f61pi7q,2023-11-26T17:42:03.837Z,"10 km NNE of Sunrise, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-11-26T17:32:00.091Z,59.55,-152.873,94.9,2,ml,,,,0.2,ak,ak023f61nr61,2023-11-26T17:34:30.497Z,"Southern Alaska",earthquake,,0.9,,,automatic,ak,ak
2023-11-26T17:31:57.470Z,38.8116684,-122.8188324,2.63,1.04,md,20,56,0.008553,0.02,nc,nc73967796,2023-11-26T18:08:14.306Z,"7 km NW of The Geysers, CA",earthquake,0.23,0.49,0.28,21,automatic,nc,nc
